title,pkg.filename,pkg.source,app.type,tags,app.title.full,app.title.short,app.credits,review.rating,text,review.status,pkg.version,review.summary,test.hw.model,test.hw.type,test.os.family,test.os.version
"afzkl.development.mVideoPlayer","afzkl.development.mVideoPlayer","com.android.vending","non-game","non-game software","mVideoPlayer","mVideoPlayer","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"air.Anodyne.humble","air.Anodyne.humble","humblebundle","game","videogame","Anodyne","Anodyne","Analgesic Productions L.L.C.","X","Ne fonctionne pas sur l'Asus Transformer Prime     ;","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"air.au.com.minimega.bonza","air.au.com.minimega.bonza","com.android.vending","game","videogame","Bonza","Bonza","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"air.be.stib.timejump","air.be.stib.timejump","com.android.vending","game","videogame","TimeJump","TimeJump","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"air.com.absolutist.fitzhd","air.com.absolutist.fitzhd","com.amazon.venezia","game","videogame","Fitz: Match 3 Puzzle","Fitz: Match 3 Puzzle","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"air.com.befunky.BeFunkyPhotoEditorPro","air.com.befunky.BeFunkyPhotoEditorPro","com.amazon.venezia","non-game","non-game software","BeFunky","BeFunky","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"air.com.boostr.Air","air.com.boostr.Air","com.android.vending","game","videogame" "collectible card game","Urban Rivals","Urban Rivals","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"air.com.bulkypix.quad","air.com.bulkypix.quad","com.android.vending","game","videogame" "color flooding" "puzzle","4444","4444","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"air.com.differencegames.hohauntedhouse2full","air.com.differencegames.hohauntedhouse2full","com.amazon.venezia","game","videogame","Hidden Object - Haunted House 2","Hidden Object - Haunted House 2","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"air.com.distractionware.dontlookback","air.com.distractionware.dontlookback","com.android.vending","game","videogame" "platformer","DLB","DLB","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"air.com.distractionware.supgrav","air.com.distractionware.supgrav","com.android.vending","game","videogame" "obstacle avoider","Super Gravitron","Super Gravitron","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"air.com.dongba.doori","air.com.dongba.doori","com.android.vending","game","videogame" "reflex" "two players","2 Players Touch","2 Players Touch","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"air.com.EXswap.Mindomo","air.com.EXswap.Mindomo","com.android.vending","non-game","non-game software","Mindomo","Mindomo","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"air.com.forestmoongames.relicrush","air.com.forestmoongames.relicrush","humblebundle","game","videogame","Relic Rush","Relic Rush","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"air.com.goblin.escapestory","air.com.goblin.escapestory","com.amazon.venezia","game","videogame","Escape Story","Escape Story","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"air.com.luckyDragon","air.com.luckyDragon","com.amazon.venezia","game","videogame","Lucky Dragon","Lucky Dragon","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"air.com.mobestmedia.escapethroughhistory","air.com.mobestmedia.escapethroughhistory","com.amazon.venezia","game","videogame","Escape History","Escape History","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"air.com.mobigrow.canyouescapeadsfree","air.com.mobigrow.canyouescapeadsfree","com.amazon.venezia","game","videogame","Can You Escape Ads Free","Can You Escape Ads Free","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"air.com.mobigrow.canyouescapeadventure","air.com.mobigrow.canyouescapeadventure","com.amazon.venezia","game","videogame","Can You Escape - Adventure","Can You Escape - Adventure","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"air.com.noodlecake.trialsOfGlork.humble","air.com.noodlecake.trialsOfGlork.humble","game","videogame","—","GLORK","GLORK","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"air.com.northwaygames.Incredipede.humble","air.com.northwaygames.Incredipede.humble","humblebundle","game","videogame" "puzzle","Incredipede","Incredipede","Northway Games","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"air.com.proceduralactivity.soulstcg","air.com.proceduralactivity.soulstcg","com.android.vending","game","videogame","Souls TCG","Souls TCG","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"air.com.sarahnorthway.rebuild2humble","air.com.sarahnorthway.rebuild2humble","humblebundle","game","videogame","Rebuild","Rebuild","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"air.com.sfbgames.DetectiveGrimoire","air.com.sfbgames.DetectiveGrimoire","game","videogame","—","D. Grimoire","D. Grimoire","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
