title,pkg.filename,pkg.source,app.type,tags,app.title.full,app.title.short,app.credits,review.rating,text,review.status,pkg.version,review.summary,test.hw.model,test.hw.type,test.os.family,test.os.version
"non-game software"§"afzkl.development.mVideoPlayer","afzkl.development.mVideoPlayer","com.android.vending","non-game",£,"mVideoPlayer","mVideoPlayer","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"air.Anodyne.humble","air.Anodyne.humble","humblebundle","game",£,"Anodyne","Anodyne","Analgesic Productions L.L.C.","X","Ne fonctionne pas sur l'Asus Transformer Prime     ;","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"air.au.com.minimega.bonza","air.au.com.minimega.bonza","com.android.vending","game",£,"Bonza","Bonza","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"air.be.stib.timejump","air.be.stib.timejump","com.android.vending","game",£,"TimeJump","TimeJump","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"air.com.absolutist.fitzhd","air.com.absolutist.fitzhd","com.amazon.venezia","game",£,"Fitz: Match 3 Puzzle","Fitz: Match 3 Puzzle","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"non-game software"§"air.com.befunky.BeFunkyPhotoEditorPro","air.com.befunky.BeFunkyPhotoEditorPro","com.amazon.venezia","non-game",£,"BeFunky","BeFunky","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame" "collectible card game"§"air.com.boostr.Air","air.com.boostr.Air","com.android.vending","game",£,"Urban Rivals","Urban Rivals","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame" "color flooding" "puzzle"§"air.com.bulkypix.quad","air.com.bulkypix.quad","com.android.vending","game",£,"4444","4444","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"air.com.differencegames.hohauntedhouse2full","air.com.differencegames.hohauntedhouse2full","com.amazon.venezia","game",£,"Hidden Object - Haunted House 2","Hidden Object - Haunted House 2","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame" "platformer"§"air.com.distractionware.dontlookback","air.com.distractionware.dontlookback","com.android.vending","game",£,"DLB","DLB","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame" "obstacle avoider"§"air.com.distractionware.supgrav","air.com.distractionware.supgrav","com.android.vending","game",£,"Super Gravitron","Super Gravitron","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame" "reflex" "two players"§"air.com.dongba.doori","air.com.dongba.doori","com.android.vending","game",£,"2 Players Touch","2 Players Touch","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"non-game software"§"air.com.EXswap.Mindomo","air.com.EXswap.Mindomo","com.android.vending","non-game",£,"Mindomo","Mindomo","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"air.com.forestmoongames.relicrush","air.com.forestmoongames.relicrush","humblebundle","game",£,"Relic Rush","Relic Rush","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"air.com.goblin.escapestory","air.com.goblin.escapestory","com.amazon.venezia","game",£,"Escape Story","Escape Story","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"air.com.luckyDragon","air.com.luckyDragon","com.amazon.venezia","game",£,"Lucky Dragon","Lucky Dragon","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"air.com.mobestmedia.escapethroughhistory","air.com.mobestmedia.escapethroughhistory","com.amazon.venezia","game",£,"Escape History","Escape History","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"air.com.mobigrow.canyouescapeadsfree","air.com.mobigrow.canyouescapeadsfree","com.amazon.venezia","game",£,"Can You Escape Ads Free","Can You Escape Ads Free","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"air.com.mobigrow.canyouescapeadventure","air.com.mobigrow.canyouescapeadventure","com.amazon.venezia","game",£,"Can You Escape - Adventure","Can You Escape - Adventure","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"—"§"air.com.noodlecake.trialsOfGlork.humble","air.com.noodlecake.trialsOfGlork.humble","game","videogame",£,"GLORK","GLORK","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame" "puzzle"§"air.com.northwaygames.Incredipede.humble","air.com.northwaygames.Incredipede.humble","humblebundle","game",£,"Incredipede","Incredipede","Northway Games","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"air.com.proceduralactivity.soulstcg","air.com.proceduralactivity.soulstcg","com.android.vending","game",£,"Souls TCG","Souls TCG","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"air.com.sarahnorthway.rebuild2humble","air.com.sarahnorthway.rebuild2humble","humblebundle","game",£,"Rebuild","Rebuild","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"—"§"air.com.sfbgames.DetectiveGrimoire","air.com.sfbgames.DetectiveGrimoire","game","videogame",£,"D. Grimoire","D. Grimoire","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"non-game software"§"air.com.starpause.wagerg","air.com.starpause.wagerg","com.android.vending","non-game",£,"WAG ERG","WAG ERG","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame" "color flooding" "puzzle"§"air.com.stateofplaygames.kami","air.com.stateofplaygames.kami","humblebundle","game",£,"KAMI","KAMI","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"air.com.treefortress.Bardbarian.HumbleBundle","air.com.treefortress.Bardbarian.HumbleBundle","humblebundle","game",£,"Bardbarian - Humble Bundle Edition","Bardbarian - Humble Bundle Edition","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"air.cz.cfc.androidam.ToddlerAquarium","air.cz.cfc.androidam.ToddlerAquarium","com.amazon.venezia","game",£,"Alphabet Aquarium","Alphabet Aquarium","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"air.de.daedalic.puzzleedna1","air.de.daedalic.puzzleedna1","com.amazon.venezia","game",£,"Edna & Harvey – The Puzzle","Edna & Harvey – The Puzzle","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"air.Fly","air.Fly","com.android.vending","game",£,"Fly","Fly","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame" "adventure" "minimalism"§"air.gd.sos.mcpixel.humble","air.gd.sos.mcpixel.humble","humblebundle","game",£,"McPixel","McPixel","Sos","3","Aventure point'n'click ultra-lite et loufoque. Chaque tableau offre quelques secondes à peine pour éviter l'explosion. La plupart des solutions sont absurdes, au-delà même de Monkey Island.","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame" "point and click" "adventure" "minimalism" "find the key, escape the room"§"air.GENKAN","air.GENKAN","com.android.vending","game",£,"GEN-KAN","GEN-KAN","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame" "point and click" "adventure" "minimalism" "find the key, escape the room"§"air.GENKAN2","air.GENKAN2","com.android.vending","game",£,"GEN-KAN 2","GEN-KAN 2","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame" "rpg"§"air.infurerpgkuesuto","air.infurerpgkuesuto","com.android.vending","game",£,"InflationRPG","InflationRPG","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame" "point and click" "adventure" "minimalism" "find the key, escape the room"§"air.Matryoshka","air.Matryoshka","com.android.vending","game",£,"Matryoshka","Matryoshka","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame" "adventure"§"air.net.machinarium.Machinarium.A1280.humble","air.net.machinarium.Machinarium.A1280.humble","humblebundle","game",£,"Machinarium","Machinarium","Amanita Design","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"air.ohnoo.story.book.game.kids","air.ohnoo.story.book.game.kids","com.amazon.venezia","game",£,"Amelia","Amelia","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame" "point and click" "adventure" "minimalism" "find the key, escape the room"§"air.RoomGForIPad","air.RoomGForIPad","com.android.vending","game",£,"ROOM Γ","ROOM Γ","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"android.game.prboom","android.game.prboom","fdroid","game",£,"PrBoom For Android","PrBoom For Android","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"non-game software"§"app.Appstervan.MobiMail","app.Appstervan.MobiMail","com.amazon.venezia","non-game",£,"MobiMail","MobiMail","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"non-game software"§"appinventor.ai_etaoi_keyboard.ETAOIalpha","appinventor.ai_etaoi_keyboard.ETAOIalpha","com.android.vending","non-game",£,"ETAOIalpha","ETAOIalpha","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"non-game software" "boardgame" "helper"§"appinventor.ai_jwhiting7.SotMSidekick","appinventor.ai_jwhiting7.SotMSidekick","com.android.vending","non-game",£,"SotM Sidekick","SotM Sidekick","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"non-game software"§"at.appscore.gboard_lite","at.appscore.gboard_lite","com.android.vending","non-game",£,"G-board Lite","G-board Lite","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"at.impossibru.boolitaire","at.impossibru.boolitaire","com.android.vending","game",£,"Boolitaire","Boolitaire","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"non-game software"§"at.tomtasche.reader","at.tomtasche.reader","com.amazon.venezia","non-game",£,"OpenDocument Reader","OpenDocument Reader","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"au.com.phil","au.com.phil","com.android.vending","game",£,"Abduction!","Abduction!","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"au.com.phil.minedemo","au.com.phil.minedemo","com.android.vending","game",£,"Gem Miner","Gem Miner","Psym Mobile","1","Minecraft 2D sans HD : bof. On creuse, on récolte, on remonte, on revend, on achète du matériel et c'est reparti… Mouais. L'ergonomie est moyenne sur tablette. Et les graphismes sont … trop LowDef.","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame" "gamebook"§"au.com.tinmangames.fightingfantasy.appointmentwithfear.humble","au.com.tinmangames.fightingfantasy.appointmentwithfear.humble","humblebundle","game",£,"F.E.A.R.","F.E.A.R.","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"—"§"au.com.tinmangames.fightingfantasy.forestofdoom.humble","au.com.tinmangames.fightingfantasy.forestofdoom.humble","game","videogame",£,"FF:FOD","FF:FOD","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"non-game software" "network" "scanner"§"aws.apps.networkInfoIi","aws.apps.networkInfoIi","com.android.vending","non-game",£,"Network Info II","Network Info II","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
